,store,sido,gungu,store_address
148,까치산점,서울특별시,강서구,"서울특별시 강서구 강서로12길 3  (화곡동, 인터시티빌라 1층 102호)"
149,꼬꼬점,경상북도,포항시북구,경상북도 포항시북구 칠성천길 98
150,꿈.연화점,경기도,부천시원미구,경기도 부천시원미구 옥산로 86
151,낙성대1점,서울특별시,관악구,서울특별시 관악구 인헌3가길 2 (봉천동)
152,난곡점,서울특별시,관악구,서울특별시 관악구 문성로16가길 43
153,남목점,울산광역시,동구,울산광역시 동구 동해안로 40-2(동부동)
154,남부점,강원도,원주시,강원도 원주시 남원로 617-2(명륜동)
155,남원노암점,전라북도,남원시,전라북도 남원시 노송로 1231 한신아파트상가 102호
156,남원점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 태위로 689(남원항공)
157,남중모현점,전라북도,익산시,"전라북도 익산시  고현로14길 53, 1층"
158,남창덕신점,울산광역시,울주군,울산광역시 울주군 온양읍 연안8길30
159,남촌점,경기도,오산시,경기도 오산시 성호대로 24-1(오산동)
160,남해점,경상남도,남해군,경상남도 남해군 남해읍 화전로48
161,내곡동점,강원도,강릉시,강원도 강릉시  관대길 70(내곡동)
162,내동2점,대전광역시,서구,대전광역시 서구 동서대로 977
163,내동점,경기도,부천시오정구,경기도 부천시오정구 삼작로96번길 21(내동 19-12)
164,내면점,강원도,홍천군,강원도 홍천군  내면읍 창촌로 48
165,내손동점,경기도,의왕시,"경기도 의왕시 계원대학로 26, 201호 (내손동, 주영프라자)"
166,내포1점,충청남도,홍성군,충청남도 홍성군 홍북읍  애향2길 2
167,노량점,경상남도,남해군,경상남도 남해군  설천면 노량로201
168,노은반석점,대전광역시,유성구,"대전광역시 유성구 노은서로266번 77, 104호(지상1층)"
169,노학점,강원도,속초시,강원도 속초시 교동로 55(교동)
170,녹양점,경기도,의정부시,"경기도 의정부시 비우로20번길 29(가능동,지상1층)"
171,논산2점,충청남도,논산시,충청남도 논산시 계백로 1008
172,논산대교점,충청남도,논산시,충청남도 논산시 대화로133번길 9-5
173,논산주공점,충청남도,논산시,"충청남도 논산시 논산대로 348번길 7, 상가-101(취암동,주공아파트)"
174,논현동점,서울특별시,강남구,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)"
175,농암점,경상북도,문경시,경상북도 문경시 농암면 청암2길 10
176,능곡점,경기도,고양시덕양구,"경기도 고양시덕양구 토당로78번길 7-10, 1층(토당동)"
177,다인점,경상북도,의성군,경상북도 의성군 다인면 서릉길 59
178,단계점,강원도,원주시,강원도 원주시 원문로 85 1층(학성동)
179,단계택지점,강원도,원주시,강원도 원주시 금불3길 34(단계동)
180,단관점,강원도,원주시,강원도 원주시 단관길 163(관설동)
181,단구점,강원도,원주시,강원도 원주시 치악로 1629 (단구동)
182,단월동점,경기도,이천시,경기도 이천시 단월로 29(단월동)
183,달동1점,울산광역시,남구,울산광역시 남구 왕생로100번길 25-1
184,달동2점,울산광역시,남구,"울산광역시 남구 번영로107번길 3, 203(달동, 주공아파트)"
185,달전점,경상북도,포항시북구,경상북도 포항시북구 흥해읍 도음로877번길 9 삼도미래타운106-106
186,답십리점,서울특별시,동대문구,"서울특별시 동대문구 전농로3길 52-2, 1층(답십리동)"
187,당감점,부산광역시,부산진구,부산광역시 부산진구 당감서로 78
188,당북점,경상북도,안동시,경상북도 안동시 대안로 65-2
189,당산동점,서울특별시,영등포구,서울특별시 영등포구 영중로 114 (영등포동8가)
190,당수동점,경기도,수원시권선구,경기도 수원시권선구 당진로 14번길 57 상가 105(당수동)
191,당진1점,충청남도,당진시,충청남도 당진시 당진중앙2로 54-5
192,당진2점,충청남도,당진시,충청남도 당진시 무수동로 195
193,당진3점,충청남도,당진시,충청남도 당진시 원당로 55
194,당진신평점,충청남도,당진시,충청남도 당진시 신평로 827
195,대강점,충청북도,단양군,충청북도 단양군 대강면 대강로 59-1
196,대고점,대전광역시,중구,"대전광역시 중구 테미로 31-1(대흥동, 1층)"
197,대광리점,경기도,연천군,경기도 연천군 신서면 도대로3번길 33
198,대구고성점,대구광역시,서구,대구광역시 서구 원대로13길 16
199,대구남산점,대구광역시,중구,대구광역시 중구 남산로2길 13(남산동)
200,대구대명점,대구광역시,남구,대구광역시 남구 두류공원로17길 48
201,대구상동점,대구광역시,수성구,대구광역시 수성구 청수로3길 87
202,대구서문점,대구광역시,서구,대구광역시 서구 국채보상로76길 45-6
203,대구송정점,대구광역시,동구,대구광역시 동구 반야월로 396
204,대구신당점,대구광역시,달서구,대구광역시 달서구 서당로7길 109
205,대구지사, ,,
206,대구지산점,대구광역시,수성구,대구광역시 수성구 용학로35길 17
207,대림동산점,경기도,안성시,경기도 안성시 공도읍 양기길 48 
208,대림역점,서울특별시,구로구,서울특별시 구로구 구로중앙로8길 17
209,대림점,서울특별시,영등포구,서울특별시 영등포구 대림로34길 14-1
210,대명계대점,대구광역시,남구,대구광역시 남구 중앙대로31길 176
211,대방동점,서울특별시,동작구,서울특별시 동작구 등용로 112-1
212,대봉점,대구광역시,중구,대구광역시 중구 동덕로6길 12-14
213,대산점,충청남도,서산시,충청남도 서산시 대산읍 구진로 61-1
214,대소점,충청북도,음성군,충청북도 음성군 대소면 오태로99번길 12-4
215,대신점,경기도,여주시,경기도 여주시 대신면 여양로 1452
216,대연점,부산광역시,남구,부산광역시 남구 천제등로28번길 50
217,대우점,인천광역시,부평구,"인천광역시 부평구 길주로394번길 5, 1층102호(산곡동,모모)"
218,대전옥계점,대전광역시,중구,대전광역시 중구 대종로 59(옥계동)
219,대전용문점,대전광역시,서구,대전광역시 서구 용문로 35-18
220,대전지사, ,,
221,대전터미널점,대전광역시,동구,대전광역시 동구 동서대로1695번길 106
222,대조동점,서울특별시,은평구,서울특별시 은평구 역말로9길 40-1. 1층(대조동)
223,대진점,강원도,고성군,강원도 고성군 현내면 한나루로 112-1
224,대천해수욕장점,충청남도,보령시,충청남도 보령시 해수욕장4길 68
225,대치동점,서울특별시,강남구,서울특별시 강남구 남부순환로 2917 (1층 108호)
226,대학로점,강원도,삼척시,강원도 삼척시  대학로 45(당저동)
227,대화장성점,경기도,고양시일산서구,경기도 고양시일산서구 호수로838번길 22
228,대화점(강원),강원도,평창군,강원도 평창군  대화면 대화3길 46
229,덕산점,충청북도,진천군,충청북도 진천군 덕산면 덕금로 809
230,덕절리점,경기도,화성시,경기도 화성시 정남면 발안로 1177
231,덕천점,경기도,안양시만안구,경기도 안양시만안구 덕천로128번길 18(안양동)
232,덕풍동점,경기도,하남시,"경기도 하남시 신장로 104, 1층 (신장동, 성원쌍떼빌)"
233,도계점,강원도,삼척시,"강원도 삼척시  도계읍 도계로 228, 1/3"
234,도고점,충청남도,아산시,충청남도 아산시 도고면 아산만로 162-1
235,도구점,경상북도,포항시남구,경상북도 포항시남구 동해면 일월로 116
236,도당점,경기도,부천시원미구,경기도 부천시원미구 옥산로 145
237,도련점,제주특별자치도,제주시,"제주특별자치도 제주시 삼봉로 115, 미듬하나로맨션상가 103호"
238,도림주공점,인천광역시,남동구,인천광역시 남동구 논고개로 299
239,도립대점,강원도,강릉시,강원도 강릉시  주문진읍 연주로 261-1
240,도마점,대전광역시,서구,대전광역시 서구 도마5길 4
241,도봉점,서울특별시,도봉구,"서울특별시 도봉구 도봉로164길 10(도봉동, 1층)"
242,도안지구점,대전광역시,유성구,대전광역시 유성구 원신흥남로 11번길 6-22 (102호)
243,도영점,강원도,원주시,강원도 원주시 남원로 527번길 6-34(명륜동)
244,도평점,경기도,광주시,경기도 광주시 초월읍 현산로 89-6
245,독산1점,서울특별시,금천구,서울특별시 금천구 가산로 80
246,독산3점,서울특별시,금천구,서울특별시 금천구 독산로 319 (독산동)
247,동광양점,전라남도,광양시,전라남도 광양시 중마로 201
248,동대동점,충청남도,보령시,충청남도 보령시 작은오랏2길 60-6
249,동두천역전점,경기도,동두천시,경기도 동두천시 생연로 120(생연동)
250,동두천터미널점,경기도,동두천시,경기도 동두천시 중앙로265번길 15
251,동명동점,강원도,속초시,강원도 속초시 번영로105번길 19(동명동)
252,동명점,경상북도,칠곡군,경상북도 칠곡군 동명면 봉암1길 7
253,동백점,경기도,용인시기흥구,경기도 용인시기흥구 동백동 662번지
254,동삼점,부산광역시,영도구,부산광역시 영도구 태종로 688-2(동삼동)
255,동송점,강원도,철원군,강원도 철원군  동송읍 금학로 232
256,동아점,경기도,고양시일산동구,경기도 고양시일산동구 강송로 196 동아아파트상가 1-3
257,동암남점,인천광역시,부평구,인천광역시 부평구 경인로701번길 43 1층
258,동천동점,경기도,용인시수지구,경기도 용인시수지구 고기로45번길 58 동문그린아파트 상가101호
259,동천점,경상북도,경주시,경상북도 경주시 탈해로47번길 6-4
260,동촌점,대구광역시,동구,대구광역시 동구 해동로 243-1
261,동탄1점,경기도,화성시,"경기도 화성시 동탄지성로 150-9(능동,상가101호)"
262,동탄2점,경기도,화성시,경기도 화성시 동탄청계로 303-14
263,동탄목동점,경기도,화성시,경기도 화성시 목동 462-4
264,동탄반송점,경기도,화성시,"경기도 화성시 노작로3길 22,1층 일부호(반송동)"
265,동탄한백점,경기도,화성시,경기도 화성시 동탄대로24길 117
266,동해점,강원도,동해시,강원도 동해시  천곡2길 4(천곡동)
267,두구동점,부산광역시,금정구,부산광역시 금정구 체육공원로 618
268,두정점,충청남도,천안시서북구,충청남도 천안시서북구 부성6길 23
269,둔덕점,전라남도,여수시,전라남도 여수시 만성로 20
270,둔산1점,대전광역시,서구,대전광역시 서구 둔산로 201 국화동성@상가 202호
271,둔산2점,대전광역시,서구,대전광역시 서구 둔산로218번길 29
272,뚝섬점,서울특별시,광진구,서울특별시 광진구 뚝섬로23길 50
273,레이크타운점,경기도,안산시단원구,"경기도 안산시단원구 광덕1로 195, 104호"
274,마석점,경기도,남양주시,"경기도 남양주시 화도읍 비룡로 185-20, 210(삼진상가2층)"
275,마송점,경기도,김포시,경기도 김포시 통진읍 조강로 49
276,마장점,경기도,이천시,경기도 이천시 마장면 중앙로6번길 15
277,마전역점,인천광역시,서구,인천광역시 서구 완정로 70
278,마전점,충청남도,금산군,충청남도 금산군 추부면 마전로 55
279,마천1점,서울특별시,송파구,서울특별시 송파구 마천로61길 9(마천동)
280,마평리점,경기도,용인시처인구,경기도 용인시처인구 금령로 129(마평동)
281,만년점,대전광역시,서구,대전광역시 서구 만년로16번길 27(만년동)
282,만수1점,인천광역시,남동구,"인천광역시 남동구 만수서로 97-17, 103호"
283,만수3점,인천광역시,남동구,인천광역시 남동구 백범로214번길 6-2
284,만수삼환점,인천광역시,남동구,인천광역시 남동구 소래로669번길 30 106호
285,만수주공점,인천광역시,남동구,인천광역시 남동구 장승남로34번길 22 상가 111호
286,만촌점,대구광역시,수성구,대구광역시 수성구 국채보상로 1024
287,망상점,강원도,동해시,"강원도 동해시  동해대로 6270-16, 1층 111호(망상동)"
288,망원동점,서울특별시,마포구,서울특별시 마포구 방울내로 66
289,매산점,경기도,수원시팔달구,경기도 수원시팔달구 갓매산로26번길 24
290,매송점,경기도,화성시,경기도 화성시 매송면 화성로 2358번길 37
291,매탄점,경기도,수원시영통구,경기도 수원시영통구 동수원로514번 15 103호
292,매화동점,경기도,시흥시,경기도 시흥시 매화1로 21
293,명곡점,대구광역시,달성군,대구광역시 달성군 화원읍 비슬로 2420
294,명보점,충청북도,제천시,충청북도 제천시 용두천로 112(남천동)
295,명일점,서울특별시,강동구,서울특별시 강동구 동남로67길 44(명일동)
296,모가점,경기도,이천시,경기도 이천시 모가면 진상미로 1257(성광주택)
297,모현점,경기도,용인시처인구,경기도 용인시처인구 모현면 외대로 36
298,목감점,경기도,시흥시,경기도 시흥시 동서로 1095
299,목동1점,서울특별시,양천구,서울특별시 양천구 목동중앙로 49
300,목동3점,서울특별시,양천구,"서울특별시 양천구 목동동로 50 A-111(신정동, 목동아파트)"
